mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4.0	0	0	6/8	2	1	G.I[I{		G	I	I	I	I						{	M	0	0	0, 4, 1		0	0
2	2	4	4	0.5	1/4	1/4	6/8	2	1	I+		G	I	I	I+	I	+						+	0	0	0, 4, 8		0	0
2	2	9/2	9/2	1.0	3/8	3/8	6/8	2	1	vi6		G	I	I	vi6	vi		6					m	0	0	0, 4, 3		3	0
2	2	11/2	11/2	0.5	5/8	5/8	6/8	2	1	I		G	I	I	I	I							M	0	0	0, 4, 1		0	0
3	3	6	6	3.0	0	0	6/8	2	1	ii	viio6	G	I	I	ii	ii							m	0	0	2, -1, 3		2	2
4	4	9	9	1.0	0	0	6/8	2	1	I}{		G	I	I	I	I						}{	M	0	0	0, 4, 1		0	0
4	4	10	10	0.5	1/4	1/4	6/8	2	1	vi6	IV64	G	I	I	vi6	vi		6					m	0	0	0, 4, 3		3	0
4	4	21/2	21/2	1.0	3/8	3/8	6/8	2	1	V		G	I	I	V	V							M	0	0	1, 5, 2		1	1
4	4	23/2	23/2	0.5	5/8	5/8	6/8	2	1	ii6		G	I	I	ii6	ii		6					m	0	0	-1, 3, 2		2	-1
5	5	12	12	2.5	0	0	6/8	2	1	I		G	I	I	I	I							M	0	0	0, 4, 1		0	0
5	5	29/2	29/2	0.5	5/8	5/8	6/8	2	1	viio6		G	I	I	viio6	vii	o	6					o	0	0	2, -1, 5		5	2
6	6	15	15	1.0	0	0	6/8	2	1	I		G	I	I	I	I							M	0	0	0, 4, 1		0	0
6	6	16	16	0.5	1/4	1/4	6/8	2	1	I+		G	I	I	I+	I	+						+	0	0	0, 4, 8		0	0
6	6	33/2	33/2	1.0	3/8	3/8	6/8	2	1	vi6		G	I	I	vi6	vi		6					m	0	0	0, 4, 3		3	0
6	6	35/2	35/2	0.5	5/8	5/8	6/8	2	1	I		G	I	I	I	I							M	0	0	0, 4, 1		0	0
7	7	18	18	3.0	0	0	6/8	2	1	ii		G	I	I	ii	ii							m	0	0	2, -1, 3		2	2
8	8	21	21	1.0	0	0	6/8	2	1	viio6		G	I	I	viio6	vii	o	6					o	0	0	2, -1, 5		5	2
8	8	22	22	0.5	1/4	1/4	6/8	2	1	ii		G	I	I	ii	ii							m	0	0	2, -1, 3		2	2
8	8	45/2	45/2	1.5	3/8	3/8	6/8	2	1	viio6}		G	I	I	viio6	vii	o	6				}	o	0	0	2, -1, 5		5	2
9	9	24	24	1.5	0	0	6/8	2	1	V7/IV{		G	I	I	V7/IV	V		7		IV		{	Mm7	0	0	0, 4, 1, -2		0	0
9	9	51/2	51/2	1.5	3/8	3/8	6/8	2	1	ii43/IV		G	I	I	ii43/IV	ii		43		IV			mm7	0	0	2, -1, 1, -2		1	2
10	10	27	27	1.5	0	0	6/8	2	1	V7/IV]		G	I	I	V7/IV	V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
10	10	57/2	57/2	1.5	3/8	3/8	6/8	2	1	i/iv		G	I		i/iv	i				iv			m	0	0	-1, -4, 0		-1	-1
11	11	30	30	1.5	0	0	6/8	2	1	I/bVII[IV		G	I	I/bVII	IV	IV							M	0	0	-1, 3, 0		-1	-1
11	11	63/2	63/2	1.0	3/8	3/8	6/8	2	1	ii6		G	I	I/bVII	ii6	ii		6					m	0	0	-1, 3, 2		2	-1
11	11	65/2	65/2	0.5	5/8	5/8	6/8	2	1	#vii%43		G	I	I/bVII	#vii%43	#vii	%	43					%7	0	0	-1, 3, 5, 2		5	-1
12	12	33	33	1.5	0	0	6/8	2	1	I}{		G	I	I/bVII	I	I						}{	M	0	0	0, 4, 1		0	0
12	12	69/2	69/2	1.5	3/8	3/8	6/8	2	1	vi6]		G	I	I/bVII	vi6	vi		6					m	0	0	0, 4, 3		3	0
13	13	36	36	1.5	0	0	6/8	2	1	V/ii		G	I		V/ii	V				ii			M	0	0	3, 7, 4		3	3
13	13	75/2	75/2	1.0	3/8	3/8	6/8	2	1	i/ii		G	I		i/ii	i				ii			m	0	0	2, -1, 3		2	2
13	13	77/2	77/2	0.5	5/8	5/8	6/8	2	1	V7/ii		G	I		V7/ii	V		7		ii			Mm7	0	0	3, 7, 4, 1		3	3
14	14	39	39	1.5	0	0	6/8	2	1	i/ii}{		G	I		i/ii	i				ii		}{	m	0	0	2, -1, 3		2	2
14	14	81/2	81/2	1.5	3/8	3/8	6/8	2	1	i6/ii		G	I		i6/ii	i		6		ii			m	0	0	-1, 3, 2		2	-1
15	15	42	42	6.0	0	0	6/8	2	1	V2		G	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
17	17	48	48	1.5	0	0	6/8	2	1	I6}{		G	I		I6	I		6				}{	M	0	0	4, 1, 0		0	4
17	17	99/2	99/2	1.5	3/8	3/8	6/8	2	1	IV		G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
18	18	51	51	1.5	0	0	6/8	2	1	I6		G	I		I6	I		6					M	0	0	4, 1, 0		0	4
18	18	105/2	105/2	1.5	3/8	3/8	6/8	2	1	ii7		G	I		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
19	19	54	54	1.5	0	0	6/8	2	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
19	19	111/2	111/2	1.5	3/8	3/8	6/8	2	1	V6		G	I		V6	V		6					M	0	0	5, 2, 1		1	5
20	20	57	57	3.0	0	0	6/8	2	1	V43(4)/V		G	I		V43(4)/V	V		43	4	V			Mm7	0	0	3, 0, 2, 1		2	3
21	21	60	60	1.5	0	0	6/8	2	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
21	21	123/2	123/2	1.5	3/8	3/8	6/8	2	1	IV		G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
22	22	63	63	1.5	0	0	6/8	2	1	I6		G	I		I6	I		6					M	0	0	4, 1, 0		0	4
22	22	129/2	129/2	1.5	3/8	3/8	6/8	2	1	ii7		G	I		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
23	23	66	66	1.5	0	0	6/8	2	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
23	23	135/2	135/2	1.0	3/8	3/8	6/8	2	1	vi.iv6		G	vi		iv6	iv		6					m	0	1	-4, 0, -1		-1	-4
23	23	137/2	137/2	0.5	5/8	5/8	6/8	2	1	ii%7		G	vi		ii%7	ii	%	7					%7	0	1	2, -1, -4, 0		2	2
24	24	69	69	1.5	0	0	6/8	2	1	V(64)		G	vi		V(64)	V			64				M	0	1	1, 0, -3		1	1
24	24	141/2	141/2	1.5	3/8	3/8	6/8	2	1	V		G	vi		V	V							M	0	1	1, 5, 2		1	1
25	25	72	72	5.5	0	0	6/8	2	1	i|IAC}{		G	vi		i	i					IAC	}{	m	0	1	0, -3, 1		0	0
26	26	155/2	155/2	0.5	5/8	5/8	6/8	2	1	I.bVI+		G	I		bVI+	bVI	+						+	0	0	-4, 0, 4		-4	-4
27	27	78	78	4.5	0	0	6/8	2	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
28	28	165/2	165/2	1.0	3/8	3/8	6/8	2	1	vi		G	I		vi	vi							m	0	0	3, 0, 4		3	3
28	28	167/2	167/2	0.5	5/8	5/8	6/8	2	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
29	29	84	84	3.0	0	0	6/8	2	1	ii		G	I		ii	ii							m	0	0	2, -1, 3		2	2
30	30	87	87	1.5	0	0	6/8	2	1	i/vi[i}{		G	I	i/vi	i	i						}{	m	0	0	0, -3, 1		0	0
30	30	177/2	177/2	1.5	3/8	3/8	6/8	2	1	iv		G	I	i/vi	iv	iv							m	0	0	-1, -4, 0		-1	-1
31	31	90	90	2.5	0	0	6/8	2	1	i]		G	I	i/vi	i	i							m	0	0	0, -3, 1		0	0
31	31	185/2	185/2	0.5	5/8	5/8	6/8	2	1	ii%43		G	I		ii%43	ii	%	43					%7	0	0	-4, 0, 2, -1		2	-4
32	32	93	93	2.5	0	0	6/8	2	1	V[I		G	I	V	I	I							M	0	0	0, 4, 1		0	0
32	32	191/2	191/2	0.5	5/8	5/8	6/8	2	1	V7/IV		G	I	V	V7/IV	V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
33	33	96	96	3.0	0	0	6/8	2	1	IV64		G	I	V	IV64	IV		64					M	0	0	0, -1, 3		-1	0
34	34	99	99	1.5	0	0	6/8	2	1	V2/V		G	I	V	V2/V	V		2		V			Mm7	0	0	0, 2, 6, 3		2	0
34	34	201/2	201/2	1.0	3/8	3/8	6/8	2	1	V		G	I	V	V	V							M	0	0	1, 5, 2		1	1
34	34	203/2	203/2	0.5	5/8	5/8	6/8	2	1	V7]		G	I	V	V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
35	35	102	102	1.5	0	0	6/8	2	1	I[I|IAC}{		G	I	I	I	I					IAC	}{	M	0	0	0, 4, 1		0	0
35	35	207/2	207/2	0.5	3/8	3/8	6/8	2	1	V64		G	I	I	V64	V		64					M	0	0	2, 1, 5		1	2
35	35	104	104	0.5	1/2	1/2	6/8	2	1	I		G	I	I	I	I							M	0	0	0, 4, 1		0	0
35	35	209/2	209/2	0.5	5/8	5/8	6/8	2	1	V2		G	I	I	V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
36	36	105	105	1.5	0	0	6/8	2	1	I		G	I	I	I	I							M	0	0	0, 4, 1		0	0
36	36	213/2	213/2	1.5	3/8	3/8	6/8	2	1	bVI6		G	I	I	bVI6	bVI		6					M	0	0	0, -3, -4		-4	0
37	37	108	108	1.5	0	0	6/8	2	1	i]		G	I	I	i	i							m	0	0	0, -3, 1		0	0
37	37	219/2	219/2	1.5	3/8	3/8	6/8	2	1	vii%7/bVII		G	I		vii%7/bVII	vii	%	7		bVII			%7	0	0	3, 0, -3, 1		3	3
38	38	111	111	1.5	0	0	6/8	2	1	I/bVII}{		G	I		I/bVII	I				bVII		}{	M	0	0	-2, 2, -1		-2	-2
38	38	225/2	225/2	1.0	3/8	3/8	6/8	2	1	ii%43/ii		G	I		ii%43/ii	ii	%	43		ii			%7	0	0	-2, 2, 4, 1		4	-2
38	38	227/2	227/2	0.5	5/8	5/8	6/8	2	1	iv6/ii		G	I		iv6/ii	iv		6		ii			m	0	0	-2, 2, 1		1	-2
39	39	114	114	1.5	0	0	6/8	2	1	V/ii		G	I		V/ii	V				ii			M	0	0	3, 7, 4		3	3
39	39	231/2	231/2	1.0	3/8	3/8	6/8	2	1	i/ii		G	I		i/ii	i				ii			m	0	0	2, -1, 3		2	2
39	39	233/2	233/2	0.5	5/8	5/8	6/8	2	1	iv64/ii		G	I		iv64/ii	iv		64		ii			m	0	0	2, 1, -2		1	2
40	40	117	117	6.0	0	0	6/8	2	1	i/ii		G	I		i/ii	i				ii			m	0	0	2, -1, 3		2	2
42	42	123	123	3.0	0	0	6/8	2	1	V2		G	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
43	43	126	126	1.5	0	0	6/8	2	1	I6}{		G	I		I6	I		6				}{	M	0	0	4, 1, 0		0	4
43	43	255/2	255/2	1.5	3/8	3/8	6/8	2	1	IV		G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
44	44	129	129	1.5	0	0	6/8	2	1	I6		G	I		I6	I		6					M	0	0	4, 1, 0		0	4
44	44	261/2	261/2	1.5	3/8	3/8	6/8	2	1	ii7(+4)		G	I		ii7(+4)	ii		7	+4				mm7	0	0	2, -1, 3, 0	1	2	2
45	45	132	132	1.5	0	0	6/8	2	1	I}{		G	I		I	I						}{	M	0	0	0, 4, 1		0	0
45	45	267/2	267/2	1.5	3/8	3/8	6/8	2	1	V6		G	I		V6	V		6					M	0	0	5, 2, 1		1	5
46	46	135	135	3.0	0	0	6/8	2	1	V43(4)/V		G	I		V43(4)/V	V		43	4	V			Mm7	0	0	3, 0, 2, 1		2	3
47	47	138	138	1.5	0	0	6/8	2	1	V		G	I		V	V							M	0	0	1, 5, 2		1	1
47	47	279/2	279/2	1.5	3/8	3/8	6/8	2	1	IV		G	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
48	48	141	141	1.5	0	0	6/8	2	1	I6		G	I		I6	I		6					M	0	0	4, 1, 0		0	4
48	48	285/2	285/2	1.5	3/8	3/8	6/8	2	1	ii7(+4)		G	I		ii7(+4)	ii		7	+4				mm7	0	0	2, -1, 3, 0	1	2	2
49	49	144	144	1.5	0	0	6/8	2	1	I		G	I		I	I							M	0	0	0, 4, 1		0	0
49	49	291/2	291/2	1.0	3/8	3/8	6/8	2	1	vi.iv6		G	vi		iv6	iv		6					m	0	1	-4, 0, -1		-1	-4
49	49	293/2	293/2	0.5	5/8	5/8	6/8	2	1	ii%7		G	vi		ii%7	ii	%	7					%7	0	1	2, -1, -4, 0		2	2
50	50	147	147	1.5	0	0	6/8	2	1	V(64)		G	vi		V(64)	V			64				M	0	1	1, 0, -3		1	1
50	50	297/2	297/2	1.5	3/8	3/8	6/8	2	1	V		G	vi		V	V							M	0	1	1, 5, 2		1	1
51	51	150	150	3.0	0	0	6/8	2	1	I[I|IAC}{		G	vi	I	I	I					IAC	}{	M	0	1	0, 4, 1		0	0
52	52	153	153	3.0	0	0	6/8	2	1	iio		G	vi	I	iio	ii	o						o	0	1	2, -1, -4		2	2
53	53	156	156	3.0	0	0	6/8	2	1	I		G	vi	I	I	I							M	0	1	0, 4, 1		0	0
54	54	159	159	3.0	0	0	6/8	2	1	iio		G	vi	I	iio	ii	o						o	0	1	2, -1, -4		2	2
55	55	162	162	12.0	0	0	6/8	2	1	I]		G	vi	I	I	I							M	0	1	0, 4, 1		0	0
58	58	171	171	0.0	0	0	6/8	2	1	}		G	vi									}		0	1				
