mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	1.0	0	0	6/8	2	1	1/4	1/4	1		1	43	G2	2	3
1	1	0	0	1.5	0	0	6/8	1	1	3/8	1/4	3/2		5	71	B4	4	0
1	1	0	0	1.5	0	0	6/8	1	1	3/8	1/4	3/2		5	83	B5	5	0
1	1	1	1	0.5	1/4	1/4	6/8	2	1	1/8	1/8	1		1	55	G3	3	4
1	1	1	1	0.5	1/4	1/4	6/8	2	1	1/8	1/8	1		5	59	B3	3	4
1	1	1	1	0.5	1/4	1/4	6/8	2	1	1/8	1/8	1		2	62	D4	4	4
1	1	3/2	3/2	1.0	3/8	3/8	6/8	2	1	1/4	1/4	1		1	55	G3	3	5
1	1	3/2	3/2	1.0	3/8	3/8	6/8	2	1	1/4	1/4	1		5	59	B3	3	5
1	1	3/2	3/2	1.0	3/8	3/8	6/8	2	1	1/4	1/4	1		2	62	D4	4	5
1	1	3/2	3/2	1.0	3/8	3/8	6/8	1	1	1/4	1/4	1		5	71	B4	4	1
1	1	3/2	3/2	1.0	3/8	3/8	6/8	1	1	1/4	1/4	1		5	83	B5	5	1
1	1	5/2	5/2	0.5	5/8	5/8	6/8	2	1	1/8	1/8	1		1	55	G3	3	6
1	1	5/2	5/2	0.5	5/8	5/8	6/8	2	1	1/8	1/8	1		5	59	B3	3	6
1	1	5/2	5/2	0.5	5/8	5/8	6/8	2	1	1/8	1/8	1		2	62	D4	4	6
1	1	5/2	5/2	0.5	5/8	5/8	6/8	1	1	1/8	1/8	1	1	5	71	B4	4	2
1	1	5/2	5/2	0.5	5/8	5/8	6/8	1	1	1/8	1/8	1	1	5	83	B5	5	2
2	2	3	3	1.0	0	0	6/8	2	1	1/4	1/4	1		1	55	G3	3	11
2	2	3	3	1.0	0	0	6/8	2	1	1/4	1/4	1		5	59	B3	3	11
2	2	3	3	1.0	0	0	6/8	2	1	1/4	1/4	1		2	62	D4	4	11
2	2	3	3	1.0	0	0	6/8	1	1	1/4	1/4	1	-1	5	71	B4	4	7
2	2	3	3	1.0	0	0	6/8	1	1	1/4	1/4	1	-1	5	83	B5	5	7
2	2	4	4	0.5	1/4	1/4	6/8	2	1	1/8	1/8	1		1	55	G3	3	12
2	2	4	4	0.5	1/4	1/4	6/8	2	1	1/8	1/8	1		5	59	B3	3	12
2	2	4	4	0.5	1/4	1/4	6/8	2	1	1/8	1/8	1		9	63	D#4	4	12
2	2	4	4	0.5	1/4	1/4	6/8	1	1	1/8	1/8	1		5	71	B4	4	8
2	2	4	4	0.5	1/4	1/4	6/8	1	1	1/8	1/8	1		5	83	B5	5	8
2	2	9/2	9/2	1.0	3/8	3/8	6/8	2	1	1/4	1/4	1		1	55	G3	3	13
2	2	9/2	9/2	1.0	3/8	3/8	6/8	2	1	1/4	1/4	1		5	59	B3	3	13
2	2	9/2	9/2	1.0	3/8	3/8	6/8	2	1	1/4	1/4	1		4	64	E4	4	13
2	2	9/2	9/2	1.0	3/8	3/8	6/8	1	1	1/4	1/4	1		4	76	E5	5	9
2	2	9/2	9/2	1.0	3/8	3/8	6/8	1	1	1/4	1/4	1		4	88	E6	6	9
2	2	11/2	11/2	0.5	5/8	5/8	6/8	2	1	1/8	1/8	1		1	55	G3	3	14
2	2	11/2	11/2	0.5	5/8	5/8	6/8	2	1	1/8	1/8	1		5	59	B3	3	14
2	2	11/2	11/2	0.5	5/8	5/8	6/8	2	1	1/8	1/8	1		2	62	D4	4	14
2	2	11/2	11/2	0.5	5/8	5/8	6/8	1	1	1/8	1/8	1		2	74	D5	5	10
