mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	0.5	0	0	2/4	2	1	1/8	1/8	1		5	47	B2	2	4
1	1	0	0	0.5	0	0	2/4	1	1	1/8	1/8	1		5	71	B4	4	0
1	1	1/2	1/2	0.25	1/8	1/8	2/4	2	1	1/16	1/16	1		6	54	F#3	3	5
1	1	1/2	1/2	0.25	1/8	1/8	2/4	2	1	1/16	1/16	1		5	59	B3	3	5
1	1	1/2	1/2	0.25	1/8	1/8	2/4	2	1	1/16	1/16	1		2	62	D4	4	5
1	1	1/2	1/2	0.5	1/8	1/8	2/4	1	1	1/8	1/8	1		6	66	F#4	4	1
1	1	1/2	1/2	0.5	1/8	1/8	2/4	1	1	1/8	1/8	1		6	78	F#5	5	1
1	1	3/4	3/4	0.25	3/16	3/16	2/4	2	1	1/16	1/16	1		6	54	F#3	3	6
1	1	3/4	3/4	0.25	3/16	3/16	2/4	2	1	1/16	1/16	1		5	59	B3	3	6
1	1	3/4	3/4	0.25	3/16	3/16	2/4	2	1	1/16	1/16	1		2	62	D4	4	6
1	1	1	1	0.5	1/4	1/4	2/4	2	1	1/8	1/8	1		5	47	B2	2	7
1	1	1	1	0.5	1/4	1/4	2/4	1	1	1/8	1/8	1		7	73	C#5	5	2
1	1	3/2	3/2	0.25	3/8	3/8	2/4	2	1	1/16	1/16	1		6	54	F#3	3	8
1	1	3/2	3/2	0.25	3/8	3/8	2/4	2	1	1/16	1/16	1		7	61	C#4	4	8
1	1	3/2	3/2	0.25	3/8	3/8	2/4	2	1	1/16	1/16	1		4	64	E4	4	8
1	1	3/2	3/2	0.5	3/8	3/8	2/4	1	1	1/8	1/8	1		6	66	F#4	4	3
1	1	3/2	3/2	0.5	3/8	3/8	2/4	1	1	1/8	1/8	1		6	78	F#5	5	3
1	1	7/4	7/4	0.25	7/16	7/16	2/4	2	1	1/16	1/16	1		6	54	F#3	3	9
1	1	7/4	7/4	0.25	7/16	7/16	2/4	2	1	1/16	1/16	1		7	61	C#4	4	9
1	1	7/4	7/4	0.25	7/16	7/16	2/4	2	1	1/16	1/16	1		4	64	E4	4	9
2	2	2	2	0.5	0	0	2/4	2	1	1/8	1/8	1		5	47	B2	2	16
2	2	2	2	0.5	0	0	2/4	1	1	1/8	1/8	1		2	74	D5	5	10
2	2	5/2	5/2	0.25	1/8	1/8	2/4	2	1	1/16	1/16	1		6	54	F#3	3	17
2	2	5/2	5/2	0.25	1/8	1/8	2/4	2	1	1/16	1/16	1		5	59	B3	3	17
2	2	5/2	5/2	0.25	1/8	1/8	2/4	2	1	1/16	1/16	1		2	62	D4	4	17
2	2	5/2	5/2	0.5	1/8	1/8	2/4	1	1	1/8	1/8	1		6	66	F#4	4	11
2	2	5/2	5/2	0.5	1/8	1/8	2/4	1	1	1/8	1/8	1		6	78	F#5	5	11
2	2	11/4	11/4	0.25	3/16	3/16	2/4	2	1	1/16	1/16	1		6	54	F#3	3	18
2	2	11/4	11/4	0.25	3/16	3/16	2/4	2	1	1/16	1/16	1		5	59	B3	3	18
2	2	11/4	11/4	0.25	3/16	3/16	2/4	2	1	1/16	1/16	1		2	62	D4	4	18
2	2	3	3	0.25	1/4	1/4	2/4	1	1	1/16	1/16	1		1	67	G4	4	12
2	2	3	3	0.25	1/4	1/4	2/4	1	1	1/16	1/16	1		4	76	E5	5	12
2	2	13/4	13/4	0.25	5/16	5/16	2/4	1	1	1/16	1/16	1		6	66	F#4	4	13
2	2	13/4	13/4	0.25	5/16	5/16	2/4	1	1	1/16	1/16	1		2	74	D5	5	13
2	2	7/2	7/2	0.25	3/8	3/8	2/4	1	1	1/16	1/16	1		4	64	E4	4	14
2	2	7/2	7/2	0.25	3/8	3/8	2/4	1	1	1/16	1/16	1		7	73	C#5	5	14
2	2	15/4	15/4	0.25	7/16	7/16	2/4	1	1	1/16	1/16	1		2	62	D4	4	15
2	2	15/4	15/4	0.25	7/16	7/16	2/4	1	1	1/16	1/16	1		5	71	B4	4	15
3	3	4	4	0.5	0	0	2/4	2	1	1/8	1/8	1		6	42	F#2	2	24
3	3	4	4	0.5	0	0	2/4	1	1	1/8	1/8	1		7	61	C#4	4	19
3	3	4	4	0.5	0	0	2/4	1	1	1/8	1/8	1		10	70	A#4	4	19
3	3	9/2	9/2	0.25	1/8	1/8	2/4	2	1	1/16	1/16	1		6	54	F#3	3	25
3	3	9/2	9/2	0.5	1/8	1/8	2/4	1	1	1/8	1/8	1		2	62	D4	4	20
3	3	9/2	9/2	0.5	1/8	1/8	2/4	1	1	1/8	1/8	1		5	71	B4	4	20
3	3	19/4	19/4	0.25	3/16	3/16	2/4	2	1	1/16	1/16	1		6	54	F#3	3	26
3	3	5	5	0.5	1/4	1/4	2/4	2	1	1/8	1/8	1		6	42	F#2	2	27
3	3	5	5	0.5	1/4	1/4	2/4	1	1	1/8	1/8	1		4	64	E4	4	21
3	3	5	5	0.5	1/4	1/4	2/4	1	1	1/8	1/8	1		7	73	C#5	5	21
3	3	11/2	11/2	0.25	3/8	3/8	2/4	2	1	1/16	1/16	1		6	54	F#3	3	28
3	3	11/2	11/2	0.25	3/8	3/8	2/4	1	1	1/16	1/16	1		2	62	D4	4	22
3	3	11/2	11/2	0.25	3/8	3/8	2/4	1	1	1/16	1/16	1		5	71	B4	4	22
3	3	23/4	23/4	0.25	7/16	7/16	2/4	2	1	1/16	1/16	1		6	54	F#3	3	29
3	3	23/4	23/4	0.25	7/16	7/16	2/4	1	1	1/16	1/16	1		7	61	C#4	4	23
3	3	23/4	23/4	0.25	7/16	7/16	2/4	1	1	1/16	1/16	1		10	70	A#4	4	23
4	4	6	6	0.5	0	0	2/4	2	1	1/8	1/8	1		5	47	B2	2	32
4	4	6	6	1.0	0	0	2/4	1	1	1/4	1/4	1		2	62	D4	4	30
4	4	6	6	1.0	0	0	2/4	1	1	1/4	1/4	1		5	71	B4	4	30
4	4	13/2	13/2	0.25	1/8	1/8	2/4	2	1	1/16	1/16	1		6	54	F#3	3	33
4	4	27/4	27/4	0.25	3/16	3/16	2/4	2	1	1/16	1/16	1		6	54	F#3	3	34
4	4	7	7	1.0	1/4	1/4	2/4	2	1	1/4	1/4	1		5	47	B2	2	35
4	4	15/2	15/2	0.5	3/8	3/8	2/4	1	1	1/8	1/8	1		6	78	F#5	5	31
5	5	8	8	0.5	0	0	2/4	2	1	1/8	1/8	1		5	59	B3	3	46
5	5	8	8	0.5	0	0	2/4	1	2	1/8	1/8	1		5	83	B5	5	38
5	5	8	8	1.0	0	0	2/4	1	1	1/4	1/4	1		5	83	B5	5	36
5	5	17/2	17/2	0.25	1/8	1/8	2/4	2	1	1/16	1/16	1		6	66	F#4	4	47
5	5	17/2	17/2	0.25	1/8	1/8	2/4	2	1	1/16	1/16	1		2	74	D5	5	47
5	5	17/2	17/2	0.16666666666666666	1/8	1/8	2/4	1	2	1/24	1/16	2/3		6	90	F#6	6	39
5	5	26/3	26/3	0.16666666666666666	1/6	1/6	2/4	1	2	1/24	1/16	2/3		6	78	F#5	5	40
5	5	35/4	35/4	0.25	3/16	3/16	2/4	2	1	1/16	1/16	1		6	66	F#4	4	48
5	5	35/4	35/4	0.25	3/16	3/16	2/4	2	1	1/16	1/16	1		2	74	D5	5	48
5	5	53/6	53/6	0.16666666666666666	5/24	5/24	2/4	1	2	1/24	1/16	2/3		6	90	F#6	6	41
5	5	9	9	0.5	1/4	1/4	2/4	2	1	1/8	1/8	1		5	59	B3	3	49
5	5	9	9	0.5	1/4	1/4	2/4	1	2	1/8	1/8	1		7	85	C#6	6	42
5	5	9	9	1.0	1/4	1/4	2/4	1	1	1/4	1/4	1		7	85	C#6	6	37
5	5	19/2	19/2	0.25	3/8	3/8	2/4	2	1	1/16	1/16	1		6	66	F#4	4	50
5	5	19/2	19/2	0.25	3/8	3/8	2/4	2	1	1/16	1/16	1		7	73	C#5	5	50
5	5	19/2	19/2	0.25	3/8	3/8	2/4	2	1	1/16	1/16	1		4	76	E5	5	50
5	5	19/2	19/2	0.16666666666666666	3/8	3/8	2/4	1	2	1/24	1/16	2/3		6	90	F#6	6	43
5	5	29/3	29/3	0.16666666666666666	5/12	5/12	2/4	1	2	1/24	1/16	2/3		6	78	F#5	5	44
5	5	39/4	39/4	0.25	7/16	7/16	2/4	2	1	1/16	1/16	1		6	66	F#4	4	51
5	5	39/4	39/4	0.25	7/16	7/16	2/4	2	1	1/16	1/16	1		7	73	C#5	5	51
5	5	39/4	39/4	0.25	7/16	7/16	2/4	2	1	1/16	1/16	1		4	76	E5	5	51
5	5	59/6	59/6	0.16666666666666666	11/24	11/24	2/4	1	2	1/24	1/16	2/3		6	90	F#6	6	45
6	6	10	10	0.5	0	0	2/4	2	1	1/8	1/8	1		5	59	B3	3	61
6	6	10	10	0.5	0	0	2/4	1	2	1/8	1/8	1		2	86	D6	6	57
6	6	10	10	1.0	0	0	2/4	1	1	1/4	1/4	1		2	86	D6	6	52
6	6	21/2	21/2	0.25	1/8	1/8	2/4	2	1	1/16	1/16	1		6	66	F#4	4	62
6	6	21/2	21/2	0.25	1/8	1/8	2/4	2	1	1/16	1/16	1		2	74	D5	5	62
6	6	21/2	21/2	0.16666666666666666	1/8	1/8	2/4	1	2	1/24	1/16	2/3		6	90	F#6	6	58
6	6	32/3	32/3	0.16666666666666666	1/6	1/6	2/4	1	2	1/24	1/16	2/3		6	78	F#5	5	59
6	6	43/4	43/4	0.25	3/16	3/16	2/4	2	1	1/16	1/16	1		6	66	F#4	4	63
6	6	43/4	43/4	0.25	3/16	3/16	2/4	2	1	1/16	1/16	1		2	74	D5	5	63
6	6	65/6	65/6	0.16666666666666666	5/24	5/24	2/4	1	2	1/24	1/16	2/3		6	90	F#6	6	60
6	6	11	11	0.5	1/4	1/4	2/4	2	1	1/8	1/8	1		1	55	G3	3	64
6	6	11	11	0.5	1/4	1/4	2/4	2	1	1/8	1/8	1		1	67	G4	4	64
6	6	11	11	0.5	1/4	1/4	2/4	2	1	1/8	1/8	1		5	71	B4	4	64
6	6	11	11	0.25	1/4	1/4	2/4	1	1	1/16	1/16	1		1	79	G5	5	53
6	6	11	11	0.25	1/4	1/4	2/4	1	1	1/16	1/16	1		4	88	E6	6	53
6	6	45/4	45/4	0.25	5/16	5/16	2/4	1	1	1/16	1/16	1		6	78	F#5	5	54
6	6	45/4	45/4	0.25	5/16	5/16	2/4	1	1	1/16	1/16	1		2	86	D6	6	54
6	6	23/2	23/2	0.25	3/8	3/8	2/4	1	1	1/16	1/16	1		4	76	E5	5	55
6	6	23/2	23/2	0.25	3/8	3/8	2/4	1	1	1/16	1/16	1		7	85	C#6	6	55
6	6	47/4	47/4	0.25	7/16	7/16	2/4	1	1	1/16	1/16	1		2	74	D5	5	56
