mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
11	10	55/2	55/2	3.0	0	0	6/8	2	1	V|HC}	c#	I		V	V					HC	}	M	1	0	1, 5, 2		1	1
11	10	30	30	0.0	5/8	5/8	6/8	2	1	{	c#	I									{		1	0				
12	11	61/2	61/2	2.5	0	0	6/8	2	1	I[I	c#	I	I	I	I							M	1	0	0, 4, 1		0	0
12	11	33	33	0.5	5/8	5/8	6/8	2	1	V7	c#	I	I	V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
13	12	67/2	67/2	1.5	0	0	6/8	2	1	I	c#	I	I	I	I							M	1	0	0, 4, 1		0	0
13	12	35	35	1.5	3/8	3/8	6/8	2	1	V7	c#	I	I	V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
14	13	73/2	73/2	3.0	0	0	6/8	2	1	I	c#	I	I	I	I							M	1	0	0, 4, 1		0	0
15	14	79/2	79/2	1.0	0	0	6/8	2	1	V7	c#	I	I	V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
15	14	81/2	81/2	0.5	1/4	1/4	6/8	2	1	V(6)	c#	I	I	V(6)	V			6				M	1	0	1, 5, 4		1	1
15	14	41	41	1.0	3/8	3/8	6/8	2	1	V7	c#	I	I	V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
15	14	42	42	0.5	5/8	5/8	6/8	2	1	I	c#	I	I	I	I							M	1	0	0, 4, 1		0	0
16	15	85/2	85/2	4.5	0	0	6/8	2	1	V7|HC}	c#	I	I	V7	V		7			HC	}	Mm7	1	0	1, 5, 2, -1		1	1
17	16	47	47	1.0	3/8	3/8	6/8	2	1	V(6)	c#	I	I	V(6)	V			6				M	1	0	1, 5, 4		1	1
17	16	48	48	0.5	5/8	5/8	6/8	2	1	V{	c#	I	I	V	V						{	M	1	0	1, 5, 2		1	1
18	17	97/2	97/2	2.5	0	0	6/8	2	1	I	c#	I	I	I	I							M	1	0	0, 4, 1		0	0
18	17	51	51	0.5	5/8	5/8	6/8	2	1	V7	c#	I	I	V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
19	18	103/2	103/2	1.5	0	0	6/8	2	1	I	c#	I	I	I	I							M	1	0	0, 4, 1		0	0
19	18	53	53	1.5	3/8	3/8	6/8	2	1	V7	c#	I	I	V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
20	19	109/2	109/2	3.0	0	0	6/8	2	1	I	c#	I	I	I	I							M	1	0	0, 4, 1		0	0
21	20	115/2	115/2	3.0	0	0	6/8	2	1	V7	c#	I	I	V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
22	21	121/2	121/2	6.0	0	0	6/8	2	1	I|PAC}	c#	I	I	I	I					PAC	}	M	1	0	0, 4, 1		0	0
23	22	66	66	0.0	5/8	5/8	6/8	2	1	{	c#	I	I								{		1	0				
24	23	133/2	133/2	4.5	0	0	6/8	2	1	V43	c#	I	I	V43	V		43					Mm7	1	0	2, -1, 1, 5		1	2
25	24	71	71	1.5	3/8	3/8	6/8	2	1	V43(+6+2)	c#	I	I	V43(+6+2)	V		43	+6+2				Mm7	1	0	2, -1, 1, 5	4, 3	1	2
26	25	145/2	145/2	3.0	0	0	6/8	2	1	V43(+6)	c#	I	I	V43(+6)	V		43	+6				Mm7	1	0	2, -1, 1, 5	4	1	2
27	26	151/2	151/2	2.5	0	0	6/8	2	1	V43(+6+2)	c#	I	I	V43(+6+2)	V		43	+6+2				Mm7	1	0	2, -1, 1, 5	4, 3	1	2
27	26	78	78	0.5	5/8	5/8	6/8	2	1	V43(+6)	c#	I	I	V43(+6)	V		43	+6				Mm7	1	0	2, -1, 1, 5	4	1	2
28	27	157/2	157/2	10.5	0	0	6/8	2	1	V43}	c#	I	I	V43	V		43				}	Mm7	1	0	2, -1, 1, 5		1	2
29	28	84	84	0.0	5/8	5/8	6/8	2	1	{	c#	I	I								{		1	0				
31	30	89	89	1.5	3/8	3/8	6/8	2	1	V43(+6+2)	c#	I	I	V43(+6+2)	V		43	+6+2				Mm7	1	0	2, -1, 1, 5	4, 3	1	2
32	31	181/2	181/2	3.0	0	0	6/8	2	1	V43(+6)	c#	I	I	V43(+6)	V		43	+6				Mm7	1	0	2, -1, 1, 5	4	1	2
33	32	187/2	187/2	2.5	0	0	6/8	2	1	V43(+6+2)	c#	I	I	V43(+6+2)	V		43	+6+2				Mm7	1	0	2, -1, 1, 5	4, 3	1	2
33	32	96	96	0.5	5/8	5/8	6/8	2	1	V43(+6)	c#	I	I	V43(+6)	V		43	+6				Mm7	1	0	2, -1, 1, 5	4	1	2
34	33	193/2	193/2	6.0	0	0	6/8	2	1	V43}	c#	I	I	V43	V		43				}	Mm7	1	0	2, -1, 1, 5		1	2
35	34	201/2	201/2	0.0	1/4	1/4	6/8	2	1	{	c#	I	I								{		1	0				
36	35	205/2	205/2	2.5	0	0	6/8	2	1	I	c#	I	I	I	I							M	1	0	0, 4, 1		0	0
36	35	105	105	0.5	5/8	5/8	6/8	2	1	V7	c#	I	I	V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
37	36	211/2	211/2	1.5	0	0	6/8	2	1	I	c#	I	I	I	I							M	1	0	0, 4, 1		0	0
37	36	107	107	1.5	3/8	3/8	6/8	2	1	V7	c#	I	I	V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
38	37	217/2	217/2	3.0	0	0	6/8	2	1	I	c#	I	I	I	I							M	1	0	0, 4, 1		0	0
39	38	223/2	223/2	1.0	0	0	6/8	2	1	V7	c#	I	I	V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
39	38	225/2	225/2	0.5	1/4	1/4	6/8	2	1	V(6)	c#	I	I	V(6)	V			6				M	1	0	1, 5, 4		1	1
39	38	113	113	1.0	3/8	3/8	6/8	2	1	V7	c#	I	I	V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
39	38	114	114	0.5	5/8	5/8	6/8	2	1	I	c#	I	I	I	I							M	1	0	0, 4, 1		0	0
40	39	229/2	229/2	4.5	0	0	6/8	2	1	V7|HC}	c#	I	I	V7	V		7			HC	}	Mm7	1	0	1, 5, 2, -1		1	1
41	40	119	119	1.0	3/8	3/8	6/8	2	1	V(6)	c#	I	I	V(6)	V			6				M	1	0	1, 5, 4		1	1
41	40	120	120	0.5	5/8	5/8	6/8	2	1	V{	c#	I	I	V	V						{	M	1	0	1, 5, 2		1	1
42	41	241/2	241/2	2.5	0	0	6/8	2	1	I	c#	I	I	I	I							M	1	0	0, 4, 1		0	0
42	41	123	123	0.5	5/8	5/8	6/8	2	1	V7	c#	I	I	V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
43	42	247/2	247/2	1.5	0	0	6/8	2	1	I	c#	I	I	I	I							M	1	0	0, 4, 1		0	0
43	42	125	125	1.5	3/8	3/8	6/8	2	1	V7	c#	I	I	V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
44	43	253/2	253/2	3.0	0	0	6/8	2	1	I	c#	I	I	I	I							M	1	0	0, 4, 1		0	0
45	44	259/2	259/2	3.0	0	0	6/8	2	1	V7	c#	I	I	V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
46	45	265/2	265/2	9.0	0	0	6/8	2	1	I]|PAC}	c#	I	I	I	I					PAC	}	M	1	0	0, 4, 1		0	0
49	47	141	141	0.0	0	5/8	6/8	2	1	{	c#	I									{		1	0				
50	48	283/2	283/2	4.5	0	0	6/8	2	1	i.i	c#	i		i	i							m	1	1	0, -3, 1		0	0
51	49	146	146	1.5	3/8	3/8	6/8	2	1	V7/III	c#	i		V7/III	V		7		III			Mm7	1	1	-2, 2, -1, -4		-2	-2
52	50	295/2	295/2	1.5	0	0	6/8	2	1	III	c#	i		III	III							M	1	1	-3, 1, -2		-3	-3
52	50	149	149	1.0	3/8	3/8	6/8	2	1	iio6(9)	c#	i		iio6(9)	ii	o	6	9				o	1	1	-1, -4, 2	-3	2	-1
52	50	150	150	0.5	5/8	5/8	6/8	2	1	iio6	c#	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
53	51	301/2	301/2	1.5	0	0	6/8	2	1	V(64)	c#	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
53	51	152	152	1.5	3/8	3/8	6/8	2	1	V7	c#	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
54	52	307/2	307/2	3.0	0	0	6/8	2	1	i|PAC}	c#	i		i	i					PAC	}	m	1	1	0, -3, 1		0	0
