mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	0	5.0	0	5/8	6/8	2	1	c#.i{	c#	i		i	i						{	m	1	1	0, -3, 1		0	0
3	2	5	5	1.5	3/8	3/8	6/8	2	1	V7/III	c#	i		V7/III	V		7		III			Mm7	1	1	-2, 2, -1, -4		-2	-2
4	3	13/2	13/2	1.5	0	0	6/8	2	1	III	c#	i		III	III							M	1	1	-3, 1, -2		-3	-3
4	3	8	8	1.0	3/8	3/8	6/8	2	1	iio6(9)	c#	i		iio6(9)	ii	o	6	9				o	1	1	-1, -4, 2	-3	2	-1
4	3	9	9	0.5	5/8	5/8	6/8	2	1	iio6	c#	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
5	4	19/2	19/2	1.5	0	0	6/8	2	1	V(64)	c#	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
5	4	11	11	1.0	3/8	3/8	6/8	2	1	V7(6)	c#	i		V7(6)	V		7	6				Mm7	1	1	1, 5, -3, -1		1	1
5	4	12	12	0.5	5/8	5/8	6/8	2	1	V7	c#	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
6	5	25/2	25/2	3.0	0	0	6/8	2	1	i|PAC}	c#	i		i	i					PAC	}	m	1	1	0, -3, 1		0	0
7	6	31/2	31/2	3.0	0	0	6/8	2	1	I.I6{	c#	I		I6	I		6				{	M	1	0	4, 1, 0		0	4
8	7	37/2	37/2	1.0	0	0	6/8	2	1	I	c#	I		I	I							M	1	0	0, 4, 1		0	0
8	7	39/2	39/2	2.0	1/4	1/4	6/8	2	1	V	c#	I		V	V							M	1	0	1, 5, 2		1	1
9	8	43/2	43/2	3.0	0	0	6/8	2	1	I6	c#	I		I6	I		6					M	1	0	4, 1, 0		0	4
10	9	49/2	49/2	1.0	0	0	6/8	2	1	V	c#	I		V	V							M	1	0	1, 5, 2		1	1
10	9	51/2	51/2	0.5	1/4	1/4	6/8	2	1	I	c#	I		I	I							M	1	0	0, 4, 1		0	0
10	9	26	26	1.0	3/8	3/8	6/8	2	1	V	c#	I		V	V							M	1	0	1, 5, 2		1	1
10	9	27	27	0.5	5/8	5/8	6/8	2	1	I6	c#	I		I6	I		6					M	1	0	4, 1, 0		0	4
