mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
6	6	16	16	1.0	1/4	1/4	3/4	2	1	V2	A	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
6	6	17	17	1.0	1/2	1/2	3/4	2	1	I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
7	7	18	18	1.0	0	0	3/4	2	1	ii7(9)	A	I		ii7(9)	ii		7	9				mm7	0	0	2, -1, 3, 0	4	2	2
7	7	19	19	2.0	1/4	1/4	3/4	2	1	ii7	A	I		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
8	8	21	21	1.0	0	0	3/4	2	1	V7(9)	A	I		V7(9)	V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1
8	8	22	22	1.0	1/4	1/4	3/4	2	1	ii64	A	I		ii64	ii		64					m	0	0	3, 2, -1		2	3
8	8	23	23	1.0	1/2	1/2	3/4	2	1	V65|HC}	A	I		V65	V		65			HC	}	Mm7	0	0	5, 2, -1, 1		1	5
9	9	24	24	2.0	0	0	3/4	2	1	I[I{	A	I	I	I	I						{	M	0	0	0, 4, 1		0	0
9	9	26	26	1.0	1/2	1/2	3/4	2	1	vii%43/V	A	I	I	vii%43/V	vii	%	43		V			%7	0	0	0, 4, 6, 3		6	0
10	10	27	27	1.0	0	0	3/4	2	1	I	A	I	I	I	I							M	0	0	0, 4, 1		0	0
10	10	28	28	1.0	1/4	1/4	3/4	2	1	vii%43/V	A	I	I	vii%43/V	vii	%	43		V			%7	0	0	0, 4, 6, 3		6	0
10	10	29	29	1.0	1/2	1/2	3/4	2	1	I	A	I	I	I	I							M	0	0	0, 4, 1		0	0
11	11	30	30	1.0	0	0	3/4	2	1	vi6	A	I	I	vi6	vi		6					m	0	0	0, 4, 3		3	0
11	11	31	31	1.0	1/4	1/4	3/4	2	1	I	A	I	I	I	I							M	0	0	0, 4, 1		0	0
11	11	32	32	1.0	1/2	1/2	3/4	2	1	V2(9)/V	A	I	I	V2(9)/V	V		2	9	V			Mm7	0	0	0, 2, 6, 3	4	2	0
12	12	33	33	2.0	0	0	3/4	2	1	I	A	I	I	I	I							M	0	0	0, 4, 1		0	0
12	12	35	35	1.0	1/2	1/2	3/4	2	1	I+]}	A	I	I	I+	I	+					}	+	0	0	0, 4, 8		0	0
13	13	36	36	2.0	0	0	3/4	2	1	V43/V{	A	I		V43/V	V		43		V		{	Mm7	0	0	3, 0, 2, 6		2	3
13	13	38	38	1.0	1/2	1/2	3/4	2	1	ii%43	A	I		ii%43	ii	%	43					%7	0	0	-4, 0, 2, -1		2	-4
14	14	39	39	1.0	0	0	3/4	2	1	V(964)	A	I		V(964)	V			964				M	0	0	1, 0, 4	3	1	1
14	14	40	40	1.0	1/4	1/4	3/4	2	1	V2	A	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
14	14	41	41	1.0	1/2	1/2	3/4	2	1	I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
15	15	42	42	1.0	0	0	3/4	2	1	V7(9)/V	A	I		V7(9)/V	V		7	9	V			Mm7	0	0	2, 6, 3, 0	4	2	2
15	15	43	43	1.0	1/4	1/4	3/4	2	1	V7/V	A	I		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
15	15	44	44	1.0	1/2	1/2	3/4	2	1	V7(9)	A	I		V7(9)	V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1
16	16	45	45	3.0	0	0	3/4	2	1	I|PAC}	A	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
17	17	48	48	2.0	0	0	3/4	2	1	V{	A	I		V	V						{	M	0	0	1, 5, 2		1	1
17	17	50	50	1.0	1/2	1/2	3/4	2	1	ii%7	A	I		ii%7	ii	%	7					%7	0	0	2, -1, -4, 0		2	2
18	18	51	51	2.0	0	0	3/4	2	1	V	A	I		V	V							M	0	0	1, 5, 2		1	1
18	18	53	53	1.0	1/2	1/2	3/4	2	1	ii%7	A	I		ii%7	ii	%	7					%7	0	0	2, -1, -4, 0		2	2
19	19	54	54	2.0	0	0	3/4	2	1	V	A	I		V	V							M	0	0	1, 5, 2		1	1
19	19	56	56	1.0	1/2	1/2	3/4	2	1	ii%7(9)	A	I		ii%7(9)	ii	%	7	9				%7	0	0	2, -1, -4, 0	4	2	2
20	20	57	57	2.0	0	0	3/4	2	1	V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
20	20	59	59	1.0	1/2	1/2	3/4	2	1	ii%7	A	I		ii%7	ii	%	7					%7	0	0	2, -1, -4, 0		2	2
21	21	60	60	2.0	0	0	3/4	2	1	V	A	I		V	V							M	0	0	1, 5, 2		1	1
21	21	62	62	1.0	1/2	1/2	3/4	2	1	V7/IV	A	I		V7/IV	V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
22	22	63	63	1.0	0	0	3/4	2	1	IV	A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
22	22	64	64	1.0	1/4	1/4	3/4	2	1	V7/bVI	A	I		V7/bVI	V		7		bVI			Mm7	0	0	-3, 1, -2, -5		-3	-3
22	22	65	65	1.0	1/2	1/2	3/4	2	1	bVI	A	I		bVI	bVI							M	0	0	-4, 0, -3		-4	-4
23	23	66	66	1.0	0	0	3/4	2	1	II	A	I		II	II							M	0	0	2, 6, 3		2	2
23	23	67	67	1.0	1/4	1/4	3/4	2	1	V7/bI	A	I		V7/bI	V		7		bI			Mm7	0	0	-6, -2, -5, -8		-6	-6
23	23	68	68	1.0	1/2	1/2	3/4	2	1	V7/III	A	I		V7/III	V		7		III			Mm7	0	0	5, 9, 6, 3		5	5
24	24	69	69	12.5	0	0	3/4	2	1	III	A	I		III	III							M	0	0	4, 8, 5		4	4
28	28	163/2	163/2	1.5	1/8	1/8	3/4	2	1	V43	A	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
28	28	83	83	1.0	1/2	1/2	3/4	2	1	V7|HC}	A	I		V7	V		7			HC	}	Mm7	0	0	1, 5, 2, -1		1	1
29	29	84	84	2.0	0	0	3/4	2	1	I[I{	A	I	I	I	I						{	M	0	0	0, 4, 1		0	0
29	29	86	86	1.0	1/2	1/2	3/4	2	1	vii%43/V	A	I	I	vii%43/V	vii	%	43		V			%7	0	0	0, 4, 6, 3		6	0
30	30	87	87	1.0	0	0	3/4	2	1	I	A	I	I	I	I							M	0	0	0, 4, 1		0	0
30	30	88	88	1.0	1/4	1/4	3/4	2	1	vii%43/V	A	I	I	vii%43/V	vii	%	43		V			%7	0	0	0, 4, 6, 3		6	0
30	30	89	89	1.0	1/2	1/2	3/4	2	1	I	A	I	I	I	I							M	0	0	0, 4, 1		0	0
31	31	90	90	1.0	0	0	3/4	2	1	vi6	A	I	I	vi6	vi		6					m	0	0	0, 4, 3		3	0
31	31	91	91	1.0	1/4	1/4	3/4	2	1	I	A	I	I	I	I							M	0	0	0, 4, 1		0	0
31	31	92	92	1.0	1/2	1/2	3/4	2	1	V2(9)/V	A	I	I	V2(9)/V	V		2	9	V			Mm7	0	0	0, 2, 6, 3	4	2	0
32	32	93	93	2.0	0	0	3/4	2	1	I	A	I	I	I	I							M	0	0	0, 4, 1		0	0
32	32	95	95	1.0	1/2	1/2	3/4	2	1	I+]}	A	I	I	I+	I	+					}	+	0	0	0, 4, 8		0	0
33	33	96	96	2.0	0	0	3/4	2	1	V43/V{	A	I		V43/V	V		43		V		{	Mm7	0	0	3, 0, 2, 6		2	3
33	33	98	98	1.0	1/2	1/2	3/4	2	1	ii%43	A	I		ii%43	ii	%	43					%7	0	0	-4, 0, 2, -1		2	-4
34	34	99	99	1.0	0	0	3/4	2	1	V7(9)	A	I		V7(9)	V		7	9				Mm7	0	0	1, 5, 2, -1	3	1	1
34	34	100	100	1.0	1/4	1/4	3/4	2	1	V2	A	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
34	34	101	101	1.0	1/2	1/2	3/4	2	1	I6	A	I		I6	I		6					M	0	0	4, 1, 0		0	4
35	35	102	102	1.0	0	0	3/4	2	1	ii7(9)	A	I		ii7(9)	ii		7	9				mm7	0	0	2, -1, 3, 0	4	2	2
35	35	103	103	2.0	1/4	1/4	3/4	2	1	ii7	A	I		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
36	36	105	105	3.0	0	0	3/4	2	1	ii%43	A	I		ii%43	ii	%	43					%7	0	0	-4, 0, 2, -1		2	-4
37	37	108	108	4.5	0	0	3/4	2	1	V7(4)	A	I		V7(4)	V		7	4				Mm7	0	0	1, 0, 2, -1		1	1
38	38	225/2	225/2	1.5	3/8	3/8	3/4	2	1	V7	A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
39	39	114	114	2.0	0	0	3/4	2	1	I[I|IAC}{	A	I	I	I	I					IAC	}{	M	0	0	0, 4, 1		0	0
39	39	116	116	1.0	1/2	1/2	3/4	2	1	vii%43/V	A	I	I	vii%43/V	vii	%	43		V			%7	0	0	0, 4, 6, 3		6	0
40	40	117	117	2.0	0	0	3/4	2	1	I	A	I	I	I	I							M	0	0	0, 4, 1		0	0
40	40	119	119	1.0	1/2	1/2	3/4	2	1	vii%43/V	A	I	I	vii%43/V	vii	%	43		V			%7	0	0	0, 4, 6, 3		6	0
41	41	120	120	2.0	0	0	3/4	2	1	I	A	I	I	I	I							M	0	0	0, 4, 1		0	0
41	41	122	122	1.0	1/2	1/2	3/4	2	1	vii%43/V	A	I	I	vii%43/V	vii	%	43		V			%7	0	0	0, 4, 6, 3		6	0
42	42	123	123	2.0	0	0	3/4	2	1	I	A	I	I	I	I							M	0	0	0, 4, 1		0	0
42	42	125	125	1.0	1/2	1/2	3/4	2	1	vii%43/V	A	I	I	vii%43/V	vii	%	43		V			%7	0	0	0, 4, 6, 3		6	0
43	43	126	126	6.0	0	0	3/4	2	1	I]}	A	I	I	I	I						}	M	0	0	0, 4, 1		0	0
