mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2.0	0	0	3/4	2	1	A.I[I{	A	I	I	I	I						{	M	0	0	0, 4, 1		0	0
1	1	2	2	1.0	1/2	1/2	3/4	2	1	vii%43/V	A	I	I	vii%43/V	vii	%	43		V			%7	0	0	0, 4, 6, 3		6	0
2	2	3	3	1.0	0	0	3/4	2	1	I	A	I	I	I	I							M	0	0	0, 4, 1		0	0
2	2	4	4	1.0	1/4	1/4	3/4	2	1	vii%43/V	A	I	I	vii%43/V	vii	%	43		V			%7	0	0	0, 4, 6, 3		6	0
2	2	5	5	1.0	1/2	1/2	3/4	2	1	I	A	I	I	I	I							M	0	0	0, 4, 1		0	0
3	3	6	6	1.0	0	0	3/4	2	1	vi6	A	I	I	vi6	vi		6					m	0	0	0, 4, 3		3	0
3	3	7	7	1.0	1/4	1/4	3/4	2	1	I	A	I	I	I	I							M	0	0	0, 4, 1		0	0
3	3	8	8	1.0	1/2	1/2	3/4	2	1	V2(9)/V	A	I	I	V2(9)/V	V		2	9	V			Mm7	0	0	0, 2, 6, 3	4	2	0
4	4	9	9	1.0	0	0	3/4	2	1	I	A	I	I	I	I							M	0	0	0, 4, 1		0	0
4	4	10	10	1.0	1/4	1/4	3/4	2	1	vii%43/V	A	I	I	vii%43/V	vii	%	43		V			%7	0	0	0, 4, 6, 3		6	0
4	4	11	11	1.0	1/2	1/2	3/4	2	1	I]}	A	I	I	I	I						}	M	0	0	0, 4, 1		0	0
5	5	12	12	2.0	0	0	3/4	2	1	V43/V{	A	I		V43/V	V		43		V		{	Mm7	0	0	3, 0, 2, 6		2	3
5	5	14	14	1.0	1/2	1/2	3/4	2	1	ii%43	A	I		ii%43	ii	%	43					%7	0	0	-4, 0, 2, -1		2	-4
6	6	15	15	1.0	0	0	3/4	2	1	V(964)	A	I		V(964)	V			964				M	0	0	1, 0, 4	3	1	1
