mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	3.0	0	0	3/4	2	2	3/4		1/2	3/2		3	45	A2	2	10
1	1	0	0	1.0	0	0	3/4	1	1	1/4		1/4	1		7	73	C#5	5	0
1	1	1/2	1/2	1.0	1/8	1/8	3/4	2	1	1/4		1/4	1		7	61	C#4	4	7
1	1	1	1	1.0	1/4	1/4	3/4	2	3	1/4		1/4	1		4	52	E3	3	11
1	1	1	1	0.5	1/4	1/4	3/4	1	1	1/8		1/8	1		4	76	E5	5	1
1	1	3/2	3/2	1.0	3/8	3/8	3/4	2	1	1/4		1/4	1		7	61	C#4	4	8
1	1	3/2	3/2	0.25	3/8	3/8	3/4	1	1	1/16		1/16	1		9	75	D#5	5	2
1	1	7/4	7/4	0.25	7/16	7/16	3/4	1	1	1/16		1/16	1		4	76	E5	5	3
1	1	2	2	1.0	1/2	1/2	3/4	2	3	1/4		1/4	1		9	51	D#3	3	12
1	1	2	2	0.5	1/2	1/2	3/4	1	1	1/8		1/8	1		6	78	F#5	5	4
1	1	5/2	5/2	0.5	5/8	5/8	3/4	2	1	1/8		1/8	1		7	61	C#4	4	9
1	1	5/2	5/2	0.25	5/8	5/8	3/4	1	1	1/16		1/16	1		11	77	E#5	5	5
1	1	11/4	11/4	0.25	11/16	11/16	3/4	1	1	1/16		1/16	1		6	78	F#5	5	6
2	2	3	3	3.0	0	0	3/4	2	2	3/4		1/2	3/2		3	45	A2	2	19
2	2	3	3	0.75	0	0	3/4	1	1	3/16		1/8	3/2		3	81	A5	5	13
2	2	7/2	7/2	1.0	1/8	1/8	3/4	2	1	1/4		1/4	1		7	61	C#4	4	16
2	2	15/4	15/4	0.25	3/16	3/16	3/4	1	1	1/16		1/16	1		3	81	A5	5	14
2	2	4	4	1.0	1/4	1/4	3/4	2	3	1/4		1/4	1		9	51	D#3	3	20
2	2	4	4	2.0	1/4	1/4	3/4	1	1	1/2		1/2	1		3	81	A5	5	15
2	2	9/2	9/2	1.0	3/8	3/8	3/4	2	1	1/4		1/4	1		7	61	C#4	4	17
2	2	5	5	1.0	1/2	1/2	3/4	2	3	1/4		1/4	1		4	52	E3	3	21
2	2	11/2	11/2	0.5	5/8	5/8	3/4	2	1	1/8		1/8	1		7	61	C#4	4	18
3	3	6	6	3.0	0	0	3/4	2	2	3/4		1/2	3/2		3	45	A2	2	32
3	3	6	6	1.0	0	0	3/4	1	1	1/4		1/4	1		6	78	F#5	5	22
3	3	13/2	13/2	1.0	1/8	1/8	3/4	2	1	1/4		1/4	1		7	61	C#4	4	29
3	3	7	7	1.0	1/4	1/4	3/4	2	3	1/4		1/4	1		4	52	E3	3	33
3	3	7	7	0.5	1/4	1/4	3/4	1	1	1/8		1/8	1		3	81	A5	5	23
3	3	15/2	15/2	1.0	3/8	3/8	3/4	2	1	1/4		1/4	1		7	61	C#4	4	30
3	3	15/2	15/2	0.25	3/8	3/8	3/4	1	1	1/16		1/16	1		8	80	G#5	5	24
3	3	31/4	31/4	0.25	7/16	7/16	3/4	1	1	1/16		1/16	1		3	81	A5	5	25
3	3	8	8	1.0	1/2	1/2	3/4	2	3	1/4		1/4	1		9	51	D#3	3	34
3	3	8	8	0.5	1/2	1/2	3/4	1	1	1/8		1/8	1		5	83	B5	5	26
3	3	17/2	17/2	0.5	5/8	5/8	3/4	2	1	1/8		1/8	1		7	61	C#4	4	31
3	3	17/2	17/2	0.25	5/8	5/8	3/4	1	1	1/16		1/16	1		10	82	A#5	5	27
3	3	35/4	35/4	0.25	11/16	11/16	3/4	1	1	1/16		1/16	1		5	83	B5	5	28
4	4	9	9	3.0	0	0	3/4	2	2	3/4		1/2	3/2		3	45	A2	2	41
4	4	9	9	0.75	0	0	3/4	1	1	3/16		1/8	3/2		7	85	C#6	6	35
4	4	19/2	19/2	1.0	1/8	1/8	3/4	2	1	1/4		1/4	1		7	61	C#4	4	38
4	4	39/4	39/4	0.25	3/16	3/16	3/4	1	1	1/16		1/16	1		7	85	C#6	6	36
4	4	10	10	1.0	1/4	1/4	3/4	2	3	1/4		1/4	1		9	51	D#3	3	42
4	4	10	10	2.0	1/4	1/4	3/4	1	1	1/2		1/2	1		7	85	C#6	6	37
4	4	21/2	21/2	1.0	3/8	3/8	3/4	2	1	1/4		1/4	1		7	61	C#4	4	39
4	4	11	11	1.0	1/2	1/2	3/4	2	3	1/4		1/4	1		4	52	E3	3	43
4	4	23/2	23/2	0.5	5/8	5/8	3/4	2	1	1/8		1/8	1		7	61	C#4	4	40
5	5	12	12	2.0	0	0	3/4	2	2	1/2		1/2	1		6	54	F#3	3	54
5	5	12	12	1.0	0	0	3/4	1	1	1/4		1/4	1		5	83	B5	5	44
5	5	25/2	25/2	1.0	1/8	1/8	3/4	2	1	1/4		1/4	1		3	57	A3	3	51
5	5	25/2	25/2	1.0	1/8	1/8	3/4	2	1	1/4		1/4	1		5	59	B3	3	51
5	5	25/2	25/2	1.0	1/8	1/8	3/4	2	1	1/4		1/4	1		9	63	D#4	4	51
5	5	13	13	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		7	85	C#6	6	45
5	5	27/2	27/2	0.5	3/8	3/8	3/4	2	1	1/8		1/8	1		3	57	A3	3	52
5	5	27/2	27/2	0.5	3/8	3/8	3/4	2	1	1/8		1/8	1		5	59	B3	3	52
5	5	27/2	27/2	0.5	3/8	3/8	3/4	2	1	1/8		1/8	1		9	63	D#4	4	52
5	5	14	14	1.0	1/2	1/2	3/4	2	2	1/4		1/4	1		-1	53	F3	3	55
5	5	14	14	0.5	1/2	1/2	3/4	1	1	1/8		1/8	1		2	86	D6	6	46
5	5	29/2	29/2	0.5	5/8	5/8	3/4	2	1	1/8		1/8	1		3	57	A3	3	53
5	5	29/2	29/2	0.5	5/8	5/8	3/4	2	1	1/8		1/8	1		5	59	B3	3	53
5	5	29/2	29/2	0.5	5/8	5/8	3/4	2	1	1/8		1/8	1		2	62	D4	4	53
5	5	29/2	29/2	0.125	5/8	5/8	3/4	1	1	1/32		1/32	1		4	88	E6	6	47
5	5	117/8	117/8	0.125	21/32	21/32	3/4	1	1	1/32		1/32	1		2	86	D6	6	48
5	5	59/4	59/4	0.125	11/16	11/16	3/4	1	1	1/32		1/32	1		7	85	C#6	6	49
5	5	119/8	119/8	0.125	23/32	23/32	3/4	1	1	1/32		1/32	1		2	86	D6	6	50
6	6	15	15	1.0	0	0	3/4	2	2	1/4		1/4	1		4	52	E3	3	62
6	6	15	15	1.0	0	0	3/4	1	1	1/4		1/4	1		6	90	F#6	6	56
6	6	31/2	31/2	0.5	1/8	1/8	3/4	2	1	1/8		1/8	1		3	57	A3	3	59
6	6	31/2	31/2	0.5	1/8	1/8	3/4	2	1	1/8		1/8	1		7	61	C#4	4	59
6	6	16	16	1.0	1/4	1/4	3/4	2	2	1/4		1/4	1		2	50	D3	3	63
6	6	16	16	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		4	88	E6	6	57
6	6	33/2	33/2	0.5	3/8	3/8	3/4	2	1	1/8		1/8	1		4	52	E3	3	60
6	6	33/2	33/2	0.5	3/8	3/8	3/4	2	1	1/8		1/8	1		8	56	G#3	3	60
6	6	33/2	33/2	0.5	3/8	3/8	3/4	2	1	1/8		1/8	1		5	59	B3	3	60
6	6	17	17	1.0	1/2	1/2	3/4	2	2	1/4		1/4	1		7	49	C#3	3	64
6	6	17	17	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		3	81	A5	5	58
6	6	35/2	35/2	0.5	5/8	5/8	3/4	2	1	1/8		1/8	1		4	52	E3	3	61
6	6	35/2	35/2	0.5	5/8	5/8	3/4	2	1	1/8		1/8	1		3	57	A3	3	61
7	7	18	18	3.0	0	0	3/4	2	2	3/4		1/2	3/2		5	47	B2	2	72
7	7	18	18	1.0	0	0	3/4	1	1	1/4		1/4	1		7	85	C#6	6	65
7	7	37/2	37/2	1.0	1/8	1/8	3/4	2	1	1/4		1/4	1		6	54	F#3	3	69
7	7	37/2	37/2	1.0	1/8	1/8	3/4	2	1	1/4		1/4	1		3	57	A3	3	69
7	7	37/2	37/2	1.0	1/8	1/8	3/4	2	1	1/4		1/4	1		2	62	D4	4	69
7	7	19	19	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		5	83	B5	5	66
