mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
66	66	391/2	391/2	0.5	1/8	1/8	3/4	2	1	IV64		a	i		IV64	IV		64					M	1	1	0, -1, 3		-1	0
66	66	196	196	1.0	1/4	1/4	3/4	2	1	vii6(+6)		a	i		vii6(+6)	vii		6	+6				m	1	1	-5, -1, -2	1	-2	-5
66	66	197	197	1.0	1/2	1/2	3/4	2	1	#viio7/iv		a	i		#viio7/iv	#vii	o	7		iv			o7	1	1	4, 1, -2, -5		4	4
67	67	198	198	1.0	0	0	3/4	2	1	IV		a	i		IV	IV							M	1	1	-1, 3, 0		-1	-1
67	67	199	199	1.0	1/4	1/4	3/4	2	1	V43/VII		a	i		V43/VII	V		43		VII			Mm7	1	1	0, -3, -1, 3		-1	0
67	67	200	200	1.0	1/2	1/2	3/4	2	1	VII		a	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
68	68	201	201	1.0	0	0	3/4	2	1	V7(#62)/iv		a	i		V7(#62)/iv	V		7	#62	iv			Mm7	1	1	-5, 4, 1, 3		0	-5
68	68	202	202	1.5	1/4	1/4	3/4	2	1	V7(2)/iv		a	i		V7(2)/iv	V		7	2	iv			Mm7	1	1	-5, 4, 1, -2		0	-5
68	68	407/2	407/2	0.5	5/8	5/8	3/4	2	1	V7/iv		a	i		V7/iv	V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
69	69	204	204	1.0	0	0	3/4	2	1	#vii%7		a	i		#vii%7	#vii	%	7					%7	1	1	5, 2, -1, 3		5	5
69	69	205	205	0.5	1/4	1/4	3/4	2	1	IM7		a	i		IM7	I	M	7					MM7	1	1	0, 4, 1, 5		0	0
69	69	411/2	411/2	0.5	3/8	3/8	3/4	2	1	ii		a	i		ii	ii							m	1	1	2, -1, 3		2	2
